timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
22:20:14,74,87,0,517186,620850,553326,105236,4430,135382,5080,1301037,0,F,0.2112000365741551,0.11249998351559043
22:20:15,84,100,0,162697,67022,19101,17504,2637,31480,1368,219273,0,F,0.15879998682066798,0.10139995720237494
22:20:16,77,96,0,218975,132084,61579,14207,7422,37709,2398,338932,0,F,28.930900036357343,0.10200001997873187
22:20:17,54,96,0,215060,131918,53933,72659,500,35256,1521,311635,0,F,0.15170004917308688,0.09660003706812859
22:20:18,61,97,0,1885213,399171,569921,28549,11604,191929,3156,1245127,0,F,0.1552999601699412,0.09679998038336635
22:20:19,70,97,0,287657,51997,21709,17549,5614,51043,2547,295766,0,F,0.15460001304745674,0.09190000128000975
22:20:20,70,96,0,100651,38807,11735,11590,1387,14143,496,79735,0,F,0.15520001761615276,0.0982999918051064
22:20:21,84,96,0,349810,113761,123295,5976,2525,62207,1807,307194,0,F,0.16289995983242989,0.10469998233020306
22:20:22,78,94,0,105791,133538,95424,43883,1879,34565,1386,305133,0,F,2.565799979493022,0.09519996820017695
22:20:23,57,100,0,1354379,770157,699307,23278,20588,249417,5981,1251721,0,F,0.16579998191446066,0.10070001007989049
22:20:24,60,97,0,951844,146687,50048,5477,4117,48200,2670,318025,0,F,0.16689999029040337,0.10929995914921165
22:20:25,56,88,0,1424573,750307,295673,51882,35112,242385,8824,1278680,0,F,2.3145999875850976,0.09579997276887298
22:20:26,61,75,0,1402227,991864,185649,139529,25827,236234,7165,1212826,0,F,0.1512000453658402,0.0942000187933445
22:20:27,63,63,0,350880,226033,46824,18250,2451,57128,1032,307846,0,F,2.500400005374104,0.09539996972307563
22:20:28,51,60,0,471631,1126243,172840,109911,16553,150146,6794,1252128,0,F,0.15389994950965047,0.09689998114481568
22:20:29,56,66,0,124430,97716,93026,8099,9316,57016,1443,312244,0,F,0.16369996592402458,0.10489998385310173
22:20:30,60,77,0,1135347,133430,94687,25763,4396,59878,1955,301867,0,F,0.15599996550008655,0.09879999561235309
22:20:31,48,77,0,40380,85585,17100,3003,1145,10060,439,79477,0,F,2.5878999731503427,0.10459998156875372
22:20:32,51,90,0,221946,144737,116006,15842,7596,40683,2233,319043,0,F,0.1531000016257167,0.09680003859102726
22:20:33,43,77,0,2129497,1010990,196109,10008,16961,203217,3766,1242563,0,F,0.15140004688873887,0.0953000271692872
22:20:34,30,80,0,826999,604513,691600,18406,16007,174081,4541,1282331,0,F,0.1601999974809587,0.09569997200742364
22:20:35,48,90,0,1191757,672307,417726,24268,5783,286910,5669,1268193,0,F,0.1598999951966107,0.10200001997873187
22:20:36,56,80,0,2014107,869755,348058,52791,7349,256897,8279,1255265,0,F,0.15249999705702066,0.09630003478378057
22:20:37,50,83,0,779668,1247363,291675,42248,20716,180292,11647,1300379,0,F,2.6267999783158302,0.09709998266771436
22:20:38,66,74,0,284587,164298,87070,5375,2848,83366,2863,306395,0,F,0.24210003903135657,0.17090002074837685
22:20:39,61,77,0,804030,728861,478782,20588,13694,235925,5793,1264721,0,F,0.15320000238716602,0.09490002412348986
22:20:40,60,74,0,668312,270687,76065,21038,5645,70947,1448,317683,0,F,0.14849996659904718,0.09299995144829154
22:20:41,70,83,0,1545214,562107,375787,38372,9914,199611,9525,1227601,0,F,0.15400000847876072,0.09799998952075839
22:20:42,60,81,0,965953,978784,414853,19884,6599,219553,7288,1213703,0,F,2.189299964811653,0.09349995525553823
22:20:43,67,69,0,782278,225946,668,70781,5430,100932,1148,339089,0,F,0.14789996203035116,0.09250000584870577
22:21:19,83,77,0,605176,224204,131450,28773,20425,78850,2950,655850,0,F,0.1841000048443675,0.10289996862411499
22:21:19,48,91,0,577539,360092,196915,15811,6385,84224,618,476034,0,F,0.18630002159625292,0.12780004180967808
22:21:20,53,90,0,1038186,816477,550905,48502,13678,373478,3803,1813592,0,F,0.1604999997653067,0.10230002226307988
22:21:21,61,93,0,488147,152297,14398,200121,4657,81228,768,469936,0,F,0.15320000238716602,0.09460002183914185
22:21:22,56,90,0,175426,594233,9357,174966,1198,105448,3641,447786,0,F,3.3054000232368708,0.10649999603629112
22:21:23,60,90,0,431778,192342,76684,64522,2340,60260,1949,456233,0,F,0.15059998258948326,0.09459996363148093
22:21:24,60,97,0,303889,119520,14381,201083,5380,92195,642,458870,0,F,0.15759997768327594,0.0990999978967011
