timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-08 14:41:21.638041,33,36,0,528390,164923,36711,41737,4648,70050,1901,264606,b
2026-02-08 14:41:22.635220,50,57,0,505253,270802,149680,14235,5011,128647,1932,507151,b
2026-02-08 14:41:23.631582,51,65,0,730664,362554,264172,13749,8822,202420,3011,779060,b
2026-02-08 14:41:24.616835,60,57,0,1063637,703276,330727,23243,18817,232826,4882,1047880,b
2026-02-08 14:41:25.613501,63,50,0,1222054,604863,314664,34677,24199,182761,4604,1070403,b
2026-02-08 14:41:26.605329,57,47,0,1597332,705545,284274,29607,23833,156686,6006,1083844,b
2026-02-08 14:41:27.595881,46,48,0,1416145,389121,209561,20815,14070,123866,5027,814294,b
2026-02-08 14:41:28.591889,37,44,0,1322974,642823,150116,29804,12337,139141,5125,831480,b
2026-02-08 14:41:29.585318,34,35,0,806268,689171,104962,32175,14328,131369,4064,841293,b
2026-02-08 14:41:30.577815,32,19,0,816415,1016174,154765,32904,15323,204403,4855,1113519,b
2026-02-08 14:42:07.326126,22,17,0,1065745,863649,170695,49515,16849,170682,3123,1106854,b
2026-02-08 14:42:08.320768,36,26,0,521072,968459,242666,40121,11776,153955,5090,1057951,b
2026-02-08 14:42:09.317030,40,23,0,867639,798306,330290,20374,11822,166424,5386,1057676,b
2026-02-08 14:42:10.307284,28,23,0,941860,735806,366281,20615,12525,177380,5167,1062355,b
2026-02-08 14:42:11.303385,24,28,0,1021508,560864,330180,28654,12828,189961,4948,1073713,b
2026-02-08 14:42:12.294912,21,38,0,805417,456797,212619,23956,8660,151845,4574,802930,b
2026-02-08 14:42:13.291104,32,45,0,760541,608237,175455,17523,7305,172238,5482,789166,b
2026-02-08 14:42:14.283386,39,40,0,716356,487559,143205,35194,7018,137533,3577,783502,b
2026-02-08 14:42:15.256621,42,36,0,553381,461192,150906,35539,7482,141300,3293,788883,b
2026-02-08 14:42:16.269629,46,34,0,723181,389618,176932,34868,8286,140795,3254,816322,b
2026-02-08 14:43:01.961633,27,49,0,1041492,739329,191038,26575,23004,186317,4962,1035168,b
2026-02-08 14:43:02.952854,40,68,0,859882,848961,129941,15959,12502,194125,4778,938557,b
2026-02-08 14:43:03.947842,42,57,0,800609,685847,84962,16275,10459,129843,3264,703990,b
2026-02-08 14:43:04.939141,33,50,0,645783,490249,153986,6615,4265,151750,2817,738719,b
2026-02-08 14:43:05.934262,31,50,0,805507,216172,222359,12884,8405,144582,3136,737356,b
