timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-08 14:33:53.662844,27,40,26,482152,546274,4429,153489,1907,116528,3415,466138,f
2026-02-08 14:33:54.652912,40,58,17,622414,620822,9141,196190,2525,162749,4397,683664,f
2026-02-08 14:33:55.628970,36,53,8,220197,328283,7496,129859,1790,104730,3493,455407,f
2026-02-08 14:33:56.642989,36,56,0,191759,285136,7147,128882,1494,103155,3052,455383,f
2026-02-08 14:33:57.636575,35,55,8,363660,482678,9686,204306,2877,98697,2032,456247,f
2026-02-08 14:33:58.628839,38,53,17,579089,675160,10995,286539,4401,151606,2714,684504,f
2026-02-08 14:33:59.598300,38,48,26,920069,810390,10926,351481,4946,217759,4102,903774,f
2026-02-08 14:34:00.613506,38,48,17,926544,546364,10841,258437,5715,231323,3673,890478,f
2026-02-08 14:34:01.608034,43,48,17,776074,332836,9773,173648,4260,179619,2845,658695,f
2026-02-08 14:34:02.610644,48,49,8,798387,326197,12805,145756,3984,159395,1830,653193,f
2026-02-08 14:34:24.449934,36,25,0,497970,597131,47334,327973,6604,172090,3978,812201,f
2026-02-08 14:34:25.446044,52,38,0,411917,408823,15214,267669,5550,130519,2388,582028,f
2026-02-08 14:34:26.439788,50,44,0,311483,434903,19842,234433,6371,125020,2757,580812,f
2026-02-08 14:34:27.433340,36,53,0,165039,299334,13224,227559,4126,115532,3069,577508,f
2026-02-08 14:34:28.428647,31,65,8,162571,295191,12893,231916,3906,121758,3207,579195,f
2026-02-08 14:34:29.417350,29,74,8,130255,108458,8798,144188,1052,91054,2733,386342,f
2026-02-08 14:34:30.412370,38,72,8,240063,385330,5651,131745,1305,98115,2156,379529,f
2026-02-08 14:34:31.406167,38,62,0,361123,563788,8065,177128,1652,152267,2684,560292,f
2026-02-08 14:34:32.400837,41,46,8,394909,608554,9703,183691,1981,145486,2201,561811,f
2026-02-08 14:34:33.388867,40,36,17,180642,346050,6631,113552,1294,107841,1651,366368,f
2026-02-08 14:35:00.190558,21,16,17,292760,191162,8495,107773,1820,86303,2136,382360,f
2026-02-08 14:35:01.204220,30,24,17,379348,195587,65996,51352,3584,87299,1046,359428,f
2026-02-08 14:35:02.198114,25,22,17,431546,156107,65409,55853,3860,86136,1001,359229,f
2026-02-08 14:35:03.179430,24,21,17,435710,181268,64771,64141,3651,82076,938,361002,f
2026-02-08 14:35:04.187821,23,20,26,136774,50776,1108,54514,1162,31436,681,133081,f
2026-02-08 14:35:05.177123,23,20,17,85119,69727,698,60936,1252,33654,863,135457,f
2026-02-08 14:35:06.150529,28,29,8,72506,72383,1569,63374,1173,37201,971,135765,f
2026-02-08 14:35:07.144366,36,44,0,73495,92773,1565,78407,1236,51902,1177,178046,f
2026-02-08 14:35:08.158154,46,55,0,65121,91428,2013,66760,740,53837,1311,177364,f
2026-02-08 14:35:09.151893,54,56,0,74089,68283,1545,60191,757,49427,1316,174061,f
2026-02-08 14:35:30.011076,9,20,8,530752,218059,8434,175103,2631,141301,2424,439507,f
2026-02-08 14:35:31.003539,17,34,8,405831,203653,4728,99670,2312,80128,2042,246127,f
2026-02-08 14:35:31.998578,17,40,0,528555,307093,9965,183379,3457,115457,2875,377756,f
2026-02-08 14:35:32.993573,25,41,0,349381,284255,11088,132986,2714,71679,2016,252451,f
2026-02-08 14:35:33.985238,26,38,0,343029,258937,11499,134148,2229,73235,1963,253871,f
2026-02-08 14:35:34.979716,21,34,0,170327,305205,22861,76227,1778,80775,1990,244036,f
2026-02-08 14:35:35.951033,19,31,0,219171,631713,23407,144810,2496,108621,2993,368042,f
2026-02-08 14:35:36.966151,14,24,0,575628,905645,27416,224191,2603,145220,3591,499848,f
2026-02-08 14:35:37.937205,11,18,0,467535,740097,9464,205102,1701,100009,2517,380495,f
2026-02-08 14:35:38.954841,4,12,0,405076,414845,7438,138408,837,75443,1583,259869,f
2026-02-08 14:35:56.830364,20,9,0,110896,348410,5486,91963,1270,82777,2347,247746,f
2026-02-08 14:35:57.825302,26,13,0,241284,191323,3986,74221,2781,63540,2531,204481,f
2026-02-08 14:35:58.815465,21,17,0,397815,261584,16365,115954,4938,95962,2234,317864,f
2026-02-08 14:35:59.809182,22,18,0,702082,403653,23381,145853,5534,128134,3125,427876,f
2026-02-08 14:36:00.807455,29,22,0,867026,374516,36327,137743,6623,134425,3154,435576,f
2026-02-08 14:36:01.797776,38,24,0,713905,283455,24107,97632,4643,104051,3173,323507,f
2026-02-08 14:36:02.793917,42,26,0,537100,194247,26220,129418,5561,96494,3078,326052,f
2026-02-08 14:36:03.785413,43,34,0,170223,164285,10648,111702,2848,62345,1653,217691,f
2026-02-08 14:36:04.779189,41,41,0,233145,314396,18525,155297,2855,87055,2625,322871,f
2026-02-08 14:36:05.768148,34,46,0,539282,300140,24843,112741,3941,95747,2959,323733,f
2026-02-08 14:36:39.542627,24,20,0,823987,710012,20039,191673,7862,211072,3953,756467,f
2026-02-08 14:36:40.517187,38,29,0,1583571,1004944,182765,192282,20994,347165,5958,1289193,f
2026-02-08 14:36:41.517577,44,30,0,1500710,1003826,183603,201846,23242,346344,6025,1279210,f
2026-02-08 14:36:42.521273,44,22,0,1053946,515179,176617,61522,18630,204697,3725,754593,f
2026-02-08 14:36:43.520985,43,21,0,392879,293280,19395,118795,5895,94695,1843,318458,f
2026-02-08 14:36:44.489794,38,26,0,309758,230769,13462,138631,2762,85152,1402,314508,f
2026-02-08 14:36:45.482619,36,37,0,300880,224141,13099,140405,2737,84848,1490,314116,f
2026-02-08 14:36:46.476080,35,46,0,220655,245374,11073,125474,2737,86465,1674,315525,f
2026-02-08 14:36:47.468585,32,51,0,107780,217294,7140,84580,1618,64375,1295,214615,f
2026-02-08 14:36:48.482052,32,49,0,98395,209140,6803,85696,1522,64647,1331,215311,f
2026-02-08 14:37:21.260634,28,8,0,454413,340033,82029,61429,4793,86815,1868,333072,f
2026-02-08 14:37:22.253207,45,17,0,341161,333825,116885,19530,4844,68993,918,326113,f
2026-02-08 14:37:23.250606,40,23,0,562752,350597,67012,29972,2685,77120,1648,319122,f
2026-02-08 14:37:24.220556,31,26,0,545303,355474,65000,29652,2612,78396,1701,318547,f
2026-02-08 14:37:25.236024,26,25,0,529559,211776,29964,25339,1369,59486,1442,203575,f
2026-02-08 14:37:26.232163,28,22,0,172640,82677,14266,53984,1652,60517,952,211662,f
2026-02-08 14:37:27.223044,41,25,0,775143,521757,187023,91276,3475,156889,3997,726592,f
2026-02-08 14:37:28.193046,45,34,0,846092,645266,196993,129882,3511,179228,4681,822896,f
2026-02-08 14:37:29.207952,47,45,0,1190942,723528,202843,105099,4119,183989,5320,815693,f
2026-02-08 14:37:30.199415,41,46,0,875818,361211,37511,91172,3440,116592,2834,401833,f
2026-02-08 14:37:46.094364,13,36,0,496938,146668,28512,32781,1266,55745,1345,190733,f
2026-02-08 14:37:47.088197,25,45,0,774629,245472,81783,24003,3296,79850,1499,281367,f
2026-02-08 14:37:48.082373,31,31,0,347498,321797,79262,22972,2806,67163,1044,273447,f
2026-02-08 14:37:49.076573,25,22,0,469832,394445,97155,23995,4127,81432,1166,363173,f
2026-02-08 14:37:50.069080,16,13,0,421651,342606,71566,31397,4248,86185,1836,354611,f
2026-02-08 14:37:51.061663,17,10,0,642094,335200,69251,36982,4615,94152,1845,361277,f
2026-02-08 14:37:52.057883,18,9,0,911013,324786,57400,56158,5044,110162,2107,361139,f
2026-02-08 14:37:53.045523,27,13,0,967401,301580,82620,47103,3690,101006,1370,362284,f
2026-02-08 14:37:54.044275,34,20,0,975046,214058,85715,40256,3821,82361,2203,363937,f
2026-02-08 14:37:55.035633,34,31,0,793084,413117,328445,28073,5800,108651,3240,762673,f
2026-02-08 14:39:53.237268,30,33,0,909501,483696,276670,56914,13183,176732,4191,937111,f
2026-02-08 14:39:54.228569,36,47,0,847579,601497,228391,65549,11843,199337,6000,911388,f
2026-02-08 14:39:55.219823,23,40,0,946258,607473,237196,78206,10376,196373,7312,920140,f
2026-02-08 14:39:56.217092,28,43,0,1019726,908392,310040,86434,12306,237638,7722,1233014,f
2026-02-08 14:39:57.208905,31,47,0,823911,736419,179509,74082,9473,154417,4762,921949,f
2026-02-08 14:39:58.203326,36,43,0,857801,775069,276597,46308,8471,155573,2696,926644,f
2026-02-08 14:39:59.194608,33,38,0,968576,698114,271930,108639,10435,165797,4558,919480,f
2026-02-08 14:40:00.188304,32,35,0,1055952,880238,351439,117847,15642,209230,5488,1200468,f
2026-02-08 14:40:01.183349,30,37,0,1286053,793066,329848,117508,20262,226854,6359,1176806,f
2026-02-08 14:40:02.173640,30,44,0,1228616,676767,369536,40383,16946,241072,7761,1142581,f
2026-02-08 14:40:28.991386,22,25,0,1009374,740912,325927,116977,15446,281631,7255,1090597,f
2026-02-08 14:40:29.989745,40,45,0,1672576,664580,366434,33769,18040,232696,7848,987455,f
2026-02-08 14:40:30.980008,46,52,0,2010185,670023,334340,30579,29136,163452,10179,976162,f
2026-02-08 14:40:31.971366,43,54,0,1981354,623147,242550,42475,27429,120927,9759,987814,f
