timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 17:59:25.609729,20,35,0,541989,68129,15764,6558,3594,5656,2616,81627,b
2026-02-01 17:59:26.629688,37,60,0,567202,70289,16420,12457,9234,5929,3503,102610,b
2026-02-01 17:59:27.601107,48,69,0,365562,62454,20218,16612,10227,6827,4094,155065,b
2026-02-01 17:59:28.589757,51,73,0,320926,63844,13707,17216,11766,4116,2813,123160,b
2026-02-01 17:59:29.584404,52,74,0,110373,41539,23196,13298,15773,5661,3944,119616,b
2026-02-01 17:59:30.604953,52,77,0,114040,43203,29868,11242,16796,7132,4651,118276,b
2026-02-01 17:59:31.596862,55,83,0,155025,38854,63133,32430,30850,13081,6882,171832,b
2026-02-01 17:59:32.564957,57,88,0,133689,19880,52264,29837,21727,12299,5871,163873,b
2026-02-01 17:59:33.564468,66,96,0,237951,82531,49550,33290,27150,13235,5978,174108,b
2026-02-01 17:59:34.556135,69,95,0,548864,88002,32548,16946,11976,10616,6931,148837,b
2026-02-01 18:00:04.346806,34,42,0,847013,56346,37790,10997,15723,7668,2199,93655,b
2026-02-01 18:00:05.341587,59,67,0,166856,45962,18132,8274,12148,3860,1744,76204,b
2026-02-01 18:00:06.334206,65,69,0,154685,34055,17028,4823,6933,4192,1555,65477,b
2026-02-01 18:00:07.330044,67,75,0,473059,65394,20848,7844,9795,5199,2117,117563,b
2026-02-01 18:00:08.325631,62,74,0,398040,42531,9249,7766,10273,4842,2408,118159,b
2026-02-01 18:00:09.347735,63,70,0,397997,45671,15072,7604,8066,6866,3574,125854,b
2026-02-01 18:00:10.316741,67,67,0,332167,98176,21581,7268,19142,11310,5021,113889,b
2026-02-01 18:00:11.320250,69,61,0,319323,98724,20195,8296,19099,11989,5629,159408,b
2026-02-01 18:00:12.293070,75,61,0,766187,105184,23362,13783,21350,9584,6066,153735,b
2026-02-01 18:00:13.288853,73,62,0,528443,35200,15195,13201,8820,4695,4371,115333,b
2026-02-01 18:00:35.162257,45,48,0,430074,23098,15744,9031,4224,4490,4207,101772,b
2026-02-01 18:00:36.134593,73,72,0,64429,29159,15564,9348,5473,4383,3576,88760,b
2026-02-01 18:00:37.148553,80,69,0,71672,72170,29779,15766,10712,4809,3250,102482,b
2026-02-01 18:00:38.128435,71,73,0,96653,73074,21888,12171,10800,4240,2312,75839,b
2026-02-01 18:00:39.120080,59,72,0,61967,75194,18227,14375,9551,4408,3100,115356,b
2026-02-01 18:00:40.108285,49,66,0,214300,41173,15270,17076,11299,7055,2963,132422,b
2026-02-01 18:00:41.120831,48,62,0,229328,52537,17799,21096,12629,6409,2871,131255,b
2026-02-01 18:00:42.116064,49,61,0,447311,48063,18185,17570,14476,6643,3674,131419,b
2026-02-01 18:00:43.091169,52,63,0,343972,65208,27933,14734,17665,22861,7836,97071,b
2026-02-01 18:00:44.107301,56,63,0,322670,79184,25774,12359,16473,25104,8559,124052,b
2026-02-01 18:01:11.900375,40,33,0,247943,28650,17988,11353,7734,8765,4522,101463,b
2026-02-01 18:01:12.896099,69,51,0,54678,20690,17252,11708,7386,10081,5906,83436,b
2026-02-01 18:01:13.879086,87,56,0,139076,26924,16681,7068,5782,5488,3220,49904,b
2026-02-01 18:01:14.870784,87,63,0,256527,25367,10833,5530,4982,6217,3528,50501,b
2026-02-01 18:01:15.875411,84,68,0,352114,29260,10283,6242,5326,6097,4316,87738,b
2026-02-01 18:01:16.861678,80,66,0,556021,187748,15285,11614,19194,9591,5100,117173,b
2026-02-01 18:01:17.854155,72,57,0,786089,207981,14038,14515,25006,9436,6991,128166,b
2026-02-01 18:01:18.844972,67,49,0,822488,234846,17714,15456,29044,11208,7426,129705,b
2026-02-01 18:01:19.839194,58,40,0,867626,73564,17003,13854,19497,9466,7149,124018,b
2026-02-01 18:01:20.831701,57,40,0,1322303,91780,23358,12651,17157,10581,6289,106034,b
2026-02-01 18:01:50.652230,47,41,0,680219,55386,8297,15696,8156,10185,5609,104684,b
2026-02-01 18:01:51.643609,76,58,0,461164,46122,7905,12662,8608,16688,9131,111275,b
2026-02-01 18:01:52.617090,89,55,0,462728,53787,7657,13243,8413,15101,8330,101247,b
2026-02-01 18:01:53.632379,91,46,0,136194,93343,14231,23155,22402,15886,8405,93762,b
2026-02-01 18:01:54.604756,88,41,0,72913,79409,13092,15821,18280,15174,6386,105757,b
2026-02-01 18:01:55.597248,89,44,0,80187,82763,22869,16658,20946,15398,6048,114565,b
2026-02-01 18:01:56.616925,84,50,0,68168,69427,27541,11154,14015,21181,5858,118106,b
2026-02-01 18:01:57.581026,85,59,0,149834,73262,26681,13588,14179,15807,6620,120257,b
2026-02-01 18:01:58.577379,85,63,0,245755,76093,18361,12547,15222,14568,5695,87137,b
2026-02-01 18:01:59.572201,82,64,0,303213,45558,25829,12055,9423,8882,6832,83015,b
2026-02-01 18:02:26.413073,43,35,8,391870,21241,6824,7601,7960,6649,2929,70266,b
2026-02-01 18:02:27.404098,69,56,0,332576,44109,8787,8817,11680,7852,3300,78379,b
2026-02-01 18:02:28.375399,72,60,0,310083,48243,14930,9989,13268,9842,4007,82449,b
2026-02-01 18:02:29.391634,75,58,0,96413,84417,25827,9106,11654,7091,3428,92208,b
2026-02-01 18:02:30.386188,71,57,0,110857,71768,25643,9536,10437,6336,3176,92168,b
2026-02-01 18:02:31.379163,63,56,0,114521,70054,22542,10839,12913,4948,3934,102335,b
2026-02-01 18:02:32.369123,55,58,0,643591,127169,41165,29258,21396,8840,6042,105586,b
2026-02-01 18:02:33.364171,48,58,0,615297,124941,41718,29953,20919,11862,8188,140655,b
2026-02-01 18:02:34.336656,50,60,0,653309,135467,45194,28994,18623,11893,7862,135122,b
2026-02-01 18:02:35.352613,52,60,0,154336,51598,15666,10015,8946,6639,5050,96365,b
2026-02-01 18:03:08.130824,54,37,0,85520,11533,2703,6480,6155,3601,3972,146204,b
2026-02-01 18:03:09.122236,84,59,0,235264,55413,4272,7950,11312,7749,6424,89001,b
2026-02-01 18:03:10.116198,87,59,0,317638,77269,9730,13725,14181,7218,7052,99973,b
2026-02-01 18:03:11.107358,79,55,0,365257,116326,8625,17612,20424,13007,8369,131037,b
2026-02-01 18:03:12.103910,68,44,0,183613,76115,16235,14568,13273,11770,4956,140367,b
2026-02-01 18:03:13.075202,62,42,0,119023,67508,22021,13462,9560,12304,3907,142450,b
