timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 18:33:24.041740,47,42,0,874261,428996,317117,17369,12540,212315,4075,1026407,l
2026-02-01 18:33:25.034114,66,69,0,1200469,532378,399385,22385,15303,260580,5336,1174784,l
2026-02-01 18:33:26.029121,58,77,0,937927,443140,279667,22901,17043,229125,6470,1158993,l
2026-02-01 18:33:27.019244,64,81,0,896867,445765,203973,41023,16925,201887,7249,1123668,l
2026-02-01 18:33:28.015174,71,82,0,857345,385266,159470,63704,20856,171965,8559,1121564,l
2026-02-01 18:33:29.008727,78,83,0,1099036,631506,207272,83009,20954,156498,6511,1142887,l
2026-02-01 18:33:30.000483,74,80,0,1411994,745238,229077,91135,29060,142605,5184,1149890,l
2026-02-01 18:33:30.995439,64,77,0,1193577,830403,315126,67680,32893,148802,4131,1167210,l
2026-02-01 18:33:31.987940,53,77,0,987027,552355,221779,43358,26233,119609,3463,863798,l
2026-02-01 18:33:32.980443,47,76,0,442172,315185,165698,14715,13108,95246,2509,583483,l
2026-02-01 18:33:58.805791,38,45,0,832837,897942,187643,23960,35531,172359,5310,1011750,l
2026-02-01 18:33:59.800432,55,55,0,531206,789886,117856,6932,20542,146966,4261,675362,l
2026-02-01 18:34:00.791622,56,37,0,280316,711456,111134,8567,17092,152674,5024,641637,l
2026-02-01 18:34:01.783006,56,34,0,377214,536059,132108,14952,15595,168906,6214,639862,l
2026-02-01 18:34:02.780895,59,36,0,382224,558119,171027,17155,20081,226861,7404,849885,l
2026-02-01 18:34:03.772962,68,49,0,444537,617545,128262,18064,20175,230053,5903,874673,l
2026-02-01 18:34:04.765453,76,55,0,428922,381515,129909,14311,17857,221835,3889,862116,l
2026-02-01 18:34:05.759972,85,62,0,443150,303046,95324,13610,13319,166789,2875,650235,l
2026-02-01 18:34:06.754271,92,65,0,364471,244851,104035,8691,11191,157541,3194,640009,l
2026-02-01 18:34:07.746632,96,68,0,829249,231879,136761,19297,8792,156016,3246,635397,l
2026-02-01 18:34:29.602692,49,58,0,836393,304958,118715,11680,7565,98170,3978,590215,l
2026-02-01 18:34:30.588072,71,84,0,696269,592573,110546,10475,9633,147759,4192,776142,l
2026-02-01 18:34:31.587477,64,72,0,480032,590081,83618,7628,11098,160582,2973,770416,l
2026-02-01 18:34:32.579160,67,59,0,513989,562352,96789,4583,15725,179221,3211,758018,l
2026-02-01 18:34:33.574061,71,47,0,527487,501716,144992,16102,21118,163634,4016,753383,l
2026-02-01 18:34:34.565499,71,45,0,1000214,513969,133088,22061,19910,178991,5007,738659,l
2026-02-01 18:34:35.555546,73,50,0,861754,738556,76359,21366,14762,168822,5465,735267,l
2026-02-01 18:34:36.550594,70,48,0,1469136,607746,102394,16937,12438,199277,5397,730343,l
2026-02-01 18:34:37.545473,70,48,0,1137563,634821,113320,13958,17197,186280,4858,735924,l
2026-02-01 18:34:38.534372,69,43,0,1068554,323234,149586,22574,19922,169401,3822,724571,l
