timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 17:31:10.076553,55,55,0,1069318,261228,172690,32434,12273,169025,4336,790094,n
2026-02-01 17:31:11.068982,82,78,0,1559247,435733,294401,53730,10063,228252,4221,1112264,n
2026-02-01 17:31:12.059196,79,79,0,1431450,651831,339253,42683,7307,257449,5405,1132970,n
2026-02-01 17:31:13.056286,81,84,0,1391983,669732,384433,43362,7877,236689,5502,1171182,n
2026-02-01 17:31:14.049372,79,92,0,1248869,646757,343839,24497,8122,244091,6537,1196172,n
2026-02-01 17:31:15.041558,77,92,0,938899,677283,322042,57333,13861,208330,5050,1218554,n
2026-02-01 17:31:16.035294,71,91,0,664870,530086,176483,48812,13831,152849,3114,927535,n
2026-02-01 17:31:17.032702,68,88,0,544038,666325,146830,79506,21791,112810,2292,928019,n
2026-02-01 17:31:18.021667,62,83,0,667698,413315,102862,47956,14232,70821,1820,613592,n
2026-02-01 17:31:19.015007,57,80,0,738675,769996,171973,67542,12438,126388,3098,940840,n
2026-02-01 17:32:01.730411,46,57,0,717185,536633,85644,121826,5092,214694,3271,832710,n
2026-02-01 17:32:02.720176,73,82,0,857747,566413,59536,152132,5563,222752,3699,861885,n
2026-02-01 17:32:03.716168,80,77,0,977786,607918,73697,160657,4958,234759,3656,858382,n
2026-02-01 17:32:04.706140,79,77,0,773425,231866,54667,94932,5021,111765,1724,430374,n
2026-02-01 17:32:05.702195,78,80,0,565711,165659,43415,62375,3186,87056,1353,319796,n
2026-02-01 17:32:06.696297,77,82,0,249883,129885,18853,56221,1498,55965,902,211939,n
2026-02-01 17:32:07.687455,75,82,0,210193,177474,43588,22432,1129,40147,1349,212826,n
2026-02-01 17:32:08.685360,71,81,0,324490,218638,67234,32081,2921,63099,1343,321942,n
2026-02-01 17:32:09.674968,67,79,0,324458,240039,66805,34867,2840,63535,1475,320016,n
2026-02-01 17:32:10.667616,61,78,0,137989,133492,24339,49639,2165,53110,923,216365,n
2026-02-01 17:32:44.439581,43,57,0,594260,249715,202770,179422,9842,113462,1987,828343,n
2026-02-01 17:32:45.434537,62,87,0,345547,217188,144828,168249,8199,98209,1770,688868,n
2026-02-01 17:32:46.425949,59,92,0,391919,801975,150973,110592,13546,99409,5583,601959,n
2026-02-01 17:32:47.418268,58,92,0,432461,912336,165029,119659,14015,127370,5995,699652,n
2026-02-01 17:32:48.413806,57,88,0,652339,993529,197106,119376,15717,153552,6038,798279,n
2026-02-01 17:32:49.405684,54,81,0,659500,282545,76730,50899,4091,116280,1611,396874,n
2026-02-01 17:32:50.398250,57,74,0,600346,177678,61487,44009,3527,89323,1417,295108,n
2026-02-01 17:32:51.391958,62,73,0,653187,983630,130747,132907,8656,212938,2909,684510,n
2026-02-01 17:32:52.387763,64,73,0,411443,1020864,108264,150749,9005,212632,3328,678287,n
2026-02-01 17:32:53.380906,67,73,0,1175151,1483455,253704,155344,12925,348423,5340,1147029,n
2026-02-01 17:33:30.131398,45,47,0,1121320,336031,193082,48029,3794,220234,5153,696162,n
