timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 18:24:39.591515,41,46,8,1050162,849562,84634,385139,7636,153870,3241,909935,r
2026-02-01 18:24:40.585207,60,67,8,708731,905717,9680,492696,5788,136442,2410,738585,r
2026-02-01 18:24:41.579980,59,64,0,656427,807806,10935,458988,6073,131693,2623,661030,r
2026-02-01 18:24:42.584769,52,66,0,790745,620934,13823,409651,4261,125592,2842,632301,r
2026-02-01 18:24:43.567779,46,71,0,715443,626668,11731,428504,4017,124083,2607,630777,r
2026-02-01 18:24:44.554470,42,77,0,703791,601882,11349,409933,3732,118561,2682,613513,r
2026-02-01 18:24:45.551530,41,84,0,669261,598142,8953,402899,3953,114780,2648,602500,r
2026-02-01 18:24:46.547224,41,84,0,463064,455822,7016,295003,2513,82687,1724,440674,r
2026-02-01 18:24:47.518680,40,84,0,426902,473167,6818,279533,2097,74164,1422,420777,r
2026-02-01 18:24:48.530141,38,82,0,418017,292433,7185,262212,3082,84704,1646,411524,r
2026-02-01 18:25:07.402360,53,45,0,510449,216581,64069,118390,2198,73944,1833,403093,r
2026-02-01 18:25:08.397291,81,67,0,511604,177622,72925,86741,1943,72276,1689,376058,r
2026-02-01 18:25:09.392352,84,67,0,468935,213050,19911,172997,1497,74774,1618,375820,r
2026-02-01 18:25:10.383563,76,73,0,526132,291547,53353,135141,2133,73585,1351,376553,r
2026-02-01 18:25:11.378572,69,76,0,1251599,811984,70843,328273,7830,220092,4128,998205,r
2026-02-01 18:25:12.368052,62,75,0,1085691,837806,80761,255768,8286,236853,4346,993270,r
2026-02-01 18:25:13.362271,61,68,0,1064702,882781,44429,282915,7674,237829,4720,988057,r
2026-02-01 18:25:14.359271,61,60,0,330575,385246,18885,108544,2001,92003,1962,366531,r
2026-02-01 18:25:15.349793,61,56,0,210110,335662,8373,108574,1671,52533,1483,244294,r
2026-02-01 18:25:16.341088,56,55,0,360871,141058,2957,148236,1193,51808,942,250187,r
2026-02-01 18:25:45.124626,40,47,8,51480,62698,7784,39445,1198,39225,849,133268,r
2026-02-01 18:25:46.139388,62,74,0,276615,134058,31754,39264,3521,41932,838,226905,r
2026-02-01 18:25:47.134369,66,79,0,309288,141780,36614,32813,3839,39349,902,226392,r
2026-02-01 18:25:48.130790,68,76,0,335481,332511,37318,106865,3915,61349,1254,339991,r
2026-02-01 18:25:49.121955,66,71,0,236759,308939,13984,175119,1724,69520,1349,342150,r
2026-02-01 18:25:50.113194,57,69,0,709865,546410,28249,458427,5705,176145,3365,907593,r
2026-02-01 18:25:51.109431,52,73,0,945572,410890,25288,471975,7673,173824,3278,911923,r
2026-02-01 18:25:52.100222,50,81,0,984381,399867,26724,475214,8139,177850,3231,911287,r
2026-02-01 18:25:53.093090,54,88,0,1085076,799577,25854,522620,8093,175769,3772,921277,r
2026-02-01 18:25:54.090198,56,91,0,917497,856982,25018,505945,6454,176374,3933,919631,r
2026-02-01 18:26:11.966815,43,43,26,364955,430640,8973,360668,5409,108096,5136,513530,r
2026-02-01 18:26:12.942656,65,63,17,537746,381290,10163,425109,5503,122674,1391,644528,r
2026-02-01 18:26:13.944118,63,63,17,402339,704091,8443,402930,6667,121242,1274,621895,r
2026-02-01 18:26:14.944216,60,66,8,441522,822396,9671,403486,6986,177838,3297,784912,r
2026-02-01 18:26:15.940464,58,70,8,331832,849165,8657,279332,5067,191539,4961,738908,r
2026-02-01 18:26:16.932906,61,63,0,228488,517337,10472,100886,1969,212543,6672,689888,r
2026-02-01 18:26:17.924294,69,53,0,204008,499262,8901,89571,1986,210170,6517,680719,r
2026-02-01 18:26:18.918029,78,38,0,270429,479909,11634,100019,2060,201708,5939,681289,r
2026-02-01 18:26:19.910599,85,29,0,301558,597580,14231,182323,3190,194768,4507,702888,r
2026-02-01 18:26:20.906625,85,27,0,345120,695518,13633,285983,3515,177849,3291,715388,r
2026-02-01 18:26:38.784211,41,34,0,967782,673560,24858,247421,10770,272712,8337,1119490,r
2026-02-01 18:26:39.780846,62,52,0,1347699,764335,27183,360898,12010,294134,8355,1276139,r
2026-02-01 18:26:40.770300,62,58,0,1693004,798382,23610,402292,10200,303381,8408,1276088,r
2026-02-01 18:26:41.765301,62,66,0,1489637,287131,13708,332037,5619,143521,3067,667859,r
2026-02-01 18:26:42.760710,64,74,0,1349164,274427,14639,340446,5759,139493,3174,661785,r
