timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 17:39:37.654079,26,30,8,1093799,151455,90778,15257,12089,56204,5768,322468,s
2026-02-01 17:39:38.649051,28,38,8,667125,48136,7847,11464,7071,5925,2946,24463,s
2026-02-01 17:39:39.642817,12,25,17,768891,52627,9352,11873,8419,6211,3193,22241,s
2026-02-01 17:39:40.633971,16,24,8,719899,68813,9528,6158,9076,7003,2046,28184,s
2026-02-01 17:39:41.627790,24,26,8,772070,43156,10404,4009,7255,5492,1763,29237,s
2026-02-01 17:39:42.616759,26,28,0,1264444,53730,14492,6744,10293,11671,3846,43994,s
2026-02-01 17:39:43.611552,33,32,0,943911,55712,16898,14454,8452,9299,3797,84788,s
2026-02-01 17:39:44.608808,33,39,0,1246939,60985,18931,18991,10449,9961,4946,88738,s
2026-02-01 17:39:45.576646,32,53,0,676848,76474,14424,18322,9797,5274,3240,92995,s
2026-02-01 17:39:46.592945,26,59,0,1130920,52883,7545,10002,9029,5311,3460,53441,s
2026-02-01 17:41:17.974504,44,39,0,1360233,298822,176448,51755,79089,75241,16694,482127,s
2026-02-01 17:41:18.947027,57,60,0,475016,209495,51505,46383,70051,23736,16590,290898,s
2026-02-01 17:41:19.960874,46,70,0,1046621,241549,49902,66182,81665,26580,19064,137224,s
2026-02-01 17:41:20.953450,42,80,0,1477704,188177,110238,60311,29740,29300,21651,156403,s
2026-02-01 17:41:21.947976,44,86,0,1681208,286785,149174,70321,45801,43825,28551,165853,s
2026-02-01 17:41:22.942028,46,83,0,1280255,247007,144891,47788,32987,40595,23354,146059,s
2026-02-01 17:41:23.913404,46,82,0,728588,125991,84203,27460,24627,20933,9967,34669,s
2026-02-01 17:41:24.907182,44,88,0,651927,55599,54084,16683,10425,5682,3510,44931,s
2026-02-01 17:41:25.922177,38,91,0,695991,98970,75806,30919,19578,24239,9033,67740,s
2026-02-01 17:41:26.916886,36,95,0,789690,113118,45055,25904,14952,24045,10201,93760,s
2026-02-01 17:42:10.619229,51,40,0,564864,132843,36558,25549,17266,19714,13694,180796,s
2026-02-01 17:42:11.591715,70,62,8,859534,134151,36741,25517,17470,17421,13732,172179,s
2026-02-01 17:42:12.604388,57,64,8,849093,194257,36499,23036,18539,22226,11098,30747,s
2026-02-01 17:42:13.599285,57,52,8,479218,94496,6251,3498,7607,8740,1242,10070,s
2026-02-01 17:42:14.593498,53,41,0,505349,120952,4978,4638,11680,12653,2163,13537,s
2026-02-01 17:42:15.584637,50,25,0,469303,45192,3937,4998,6044,5218,1756,30391,s
2026-02-01 17:42:16.581828,44,21,0,440718,57712,14274,11689,7414,8088,4796,31396,s
2026-02-01 17:42:17.574316,43,28,0,578310,46800,17780,12185,5833,5168,5589,116510,s
2026-02-01 17:42:18.566824,40,39,0,1221425,89174,45673,41186,23218,25155,9666,117784,s
2026-02-01 17:42:19.559328,40,59,0,1564133,111994,52060,41782,29654,28222,8869,209865,s
2026-02-01 17:43:09.202675,44,27,0,144244,95756,37171,35628,15041,20742,12905,171152,s
2026-02-01 17:43:10.221385,65,42,0,177905,98628,37429,35832,14756,20705,13090,174615,s
2026-02-01 17:43:11.188912,63,37,0,972347,122923,38938,37608,19390,22019,13755,42679,s
2026-02-01 17:43:12.181677,56,43,0,898575,58126,5531,4827,9411,5135,2971,23180,s
2026-02-01 17:43:13.176555,50,41,0,1017894,63519,6425,10227,11724,9182,3161,22072,s
2026-02-01 17:43:14.171392,48,37,0,516513,46426,14298,13545,20468,12931,5662,34302,s
2026-02-01 17:43:15.170218,52,37,0,1105398,76204,18571,21243,24986,14980,7985,156340,s
2026-02-01 17:43:16.155332,58,40,0,1307004,78595,20484,18128,24987,15065,8257,155051,s
2026-02-01 17:43:17.171580,64,47,0,1226649,71851,11422,14517,10248,9155,4717,148540,s
2026-02-01 17:43:18.146601,62,52,0,922868,32665,13861,7911,8499,7430,2548,23694,s
2026-02-01 17:44:00.854803,33,42,0,942883,44928,24402,14362,9097,9311,3509,77654,s
2026-02-01 17:44:01.856970,49,67,8,1319291,139516,110962,85274,53657,22951,19678,105156,s
